ANSWER,Response
xylophone,xylophone
peacock,horses
spade,showel
pot,bowl
sausage,burger
apple ,pear
mushroom,banana
sausage,sausages
parrot,bird
cat,dog
kettle,shoe
pumkip,window
papaya,papaya
hedgehog,fur
mouse,rat
egg,no idea
horse,horse
hammer,hammer
avocado,avocado
parsley,pesto
lemur,lemur
cup,cup
toucan,velociraptor
fig,banana
harmonica,mouth organ
leek,leek
papaya,no idea
xylophone,drum
banana,banana
kazoo,whistle
sausage,sausage
ostrich,parrot
kettle,cup
anteater,anteater
turtle,turtle
pan,pan
whisk,whisk
eel,eel
anteater,anteater
grapes,plums
grapes,banana
saxophone,whistle
flamingo,bird
camel,camel
rhino,anteater
sausage,banana
flamingo ,flamingo
cat,monkey
saw,saw
funnel,funnel
sloth,sloth
saxophone,saxophone
